,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
61,1,1,0.0,-8.680022163478736,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
62,0,0,0.0,-10.44422326513496,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
63,1,0,0.0,-10.44422326513496,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,4
64,1,0,0.02404535828557582,-9.952729045690658,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
65,1,5,0.11871146522592303,155.52739108704114,4,一线城市,255.0,65025.0,1,0,0,0,0,1,0,4
66,1,0,0.025171106641448487,-10.198476155412811,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
67,1,0,0.01883197583117694,-8.504894734241,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
68,1,3,0.019969375122823957,-10.198476155412811,0,其他,0.0,0.0,0,0,0,0,0,0,0,4
69,0,0,0.0,-10.44422326513496,0,其他,0.0,0.0,0,0,0,0,0,0,0,4
70,1,0,0.07515441899852732,-10.198476155412811,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
71,1,0,0.03305880616019927,-9.461234826246352,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
72,1,0,0.0,-10.198476155412811,4,其他,48.0,2304.0,0,0,0,0,0,1,0,4
73,0,0,0.038937940351536755,-6.8379616599524455,2,一线城市,79.0,6241.0,1,0,0,1,0,0,0,4
74,1,0,0.0,-10.44422326513496,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
75,1,0,0.0,-10.44422326513496,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
76,0,2,0.03185301816376892,-10.44422326513496,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
77,1,12,0.05982955315316237,-10.040292760309525,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
78,1,0,0.2500577196294076,-7.451286614867973,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
79,1,18,0.1499746622109889,74.24242964426595,4,一线城市,255.0,65025.0,1,0,0,0,0,1,0,4
80,0,4,0.20117060688682617,-7.117975790526954,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,4
81,1,0,0.06734628995979491,-10.44422326513496,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
82,0,0,0.0,-10.44422326513496,0,其他,0.0,0.0,0,0,0,0,0,0,0,4
83,0,0,0.0,-10.44422326513496,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,4
84,0,0,0.0,-10.198476155412811,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
85,0,0,0.292776383893175,-10.44422326513496,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,4
