,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
383,1,0,0.005198949758699999,-8.22994430492649,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
384,0,5,0.022559760402187386,-9.864237569377984,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
385,0,0,0.05934349026606775,-9.864237569377984,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
386,0,0,0.0,-10.097708035728198,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
387,0,0,0.0,-9.864237569377984,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
388,1,19,0.16038696285981555,8.559536099442811,4,二线城市,68.0,4624.0,0,1,0,0,0,1,0,1
389,1,0,0.12209337624284539,-2.338140857965495,1,二线城市,0.0,0.0,0,1,1,0,0,0,0,1
390,1,2,0.1009843296677637,35.888931935305045,3,一线城市,68.0,4624.0,1,0,0,0,1,0,0,1
391,1,0,0.04062060212335312,-5.2543044684218945,4,二线城市,120.0,14400.0,0,1,0,0,0,1,0,1
392,1,5,0.046187099860086664,-6.019260245107769,4,一线城市,37.0,1369.0,1,0,0,0,0,1,0,1
393,1,3,0.07630287502395441,-8.669522771960215,4,二线城市,50.0,2500.0,0,1,0,0,0,1,0,1
394,1,9,0.018201127979270922,-10.097708035728198,3,二线城市,67.0,4489.0,0,1,0,0,1,0,0,1
395,1,0,0.12453222084358109,9.282241812573108,5,二线城市,58.0,3364.0,0,1,0,0,0,0,1,1
396,1,0,0.0,-10.097708035728198,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
397,1,0,0.0920691381223942,-10.097708035728198,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
398,0,15,0.030514139424112897,-9.71760579474265,3,其他,0.0,0.0,0,0,0,0,1,0,0,1
399,1,0,0.0521781204040278,4.673696705603946,4,一线城市,255.0,65025.0,1,0,0,0,0,1,0,1
400,1,0,0.005853740634394153,-9.864237569377984,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
401,1,0,0.03884422734233537,-7.4748079745424505,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
402,1,5,0.02075407215621444,-9.864237569377984,2,其他,0.0,0.0,0,0,0,1,0,0,0,1
403,1,0,0.0,-9.864237569377984,3,二线城市,0.0,0.0,0,1,0,0,1,0,0,1
404,0,0,0.0,-10.097708035728198,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
405,0,0,0.00831314895634348,-9.48413532839244,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,1
406,1,0,0.0,-9.864237569377984,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
407,1,14,0.05685594474359507,-6.861235267206693,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
408,1,0,0.0,-10.097708035728198,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
409,1,0,0.007596735418684352,-8.669522771960215,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,1
410,0,0,0.021161079566681253,-6.019260245107769,4,其他,74.0,5476.0,0,0,0,0,0,1,0,1
411,1,3,0.08737701301888336,-10.097708035728198,0,其他,66.0,4356.0,0,0,0,0,0,0,0,1
412,1,0,0.0,-10.097708035728198,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
413,0,0,0.0,-10.097708035728198,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
414,1,0,0.024561438658694496,-9.136463704660644,4,一线城市,60.0,3600.0,1,0,0,0,0,1,0,1
415,1,0,0.07254809987449302,-8.7837239293418,3,二线城市,48.0,2304.0,0,1,0,0,1,0,0,1
416,1,0,0.0,-10.097708035728198,5,其他,0.0,0.0,0,0,0,0,0,0,1,1
417,1,0,0.027563102180031784,-9.397296636677558,3,其他,0.0,0.0,0,0,0,0,1,0,0,1
418,0,0,0.0,-9.864237569377984,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
419,1,7,0.07426431496819669,224.44344961365323,5,一线城市,255.0,65025.0,1,0,0,0,0,0,1,1
420,0,0,0.0,-9.397296636677558,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
421,1,3,0.02677054594591721,-9.136463704660644,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
422,1,3,0.041356197644571636,-8.289420530974674,2,二线城市,40.0,1600.0,0,1,0,1,0,0,0,1
423,1,0,0.0,-10.097708035728198,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
424,1,5,0.0325121905524827,1.0895523133506468,4,一线城市,45.0,2025.0,1,0,0,0,0,1,0,1
425,0,0,0.0,-10.097708035728198,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
426,0,0,0.3959130143145483,-10.097708035728198,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
427,1,0,0.0,-10.097708035728198,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
428,1,5,0.01754729877557223,-9.136463704660644,4,二线城市,45.0,2025.0,0,1,0,0,0,1,0,1
429,1,0,0.0,-10.097708035728198,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
430,1,10,0.06588687872297966,-7.941748907242875,2,二线城市,64.0,4096.0,0,1,0,1,0,0,0,1
431,1,0,0.07991431818005258,-9.163826170327345,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
432,1,0,0.16793752753385513,-7.0078670418420215,4,一线城市,120.0,14400.0,1,0,0,0,0,1,0,1
433,1,0,0.1798050251234244,91.35968074198574,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
434,0,0,0.0,-10.097708035728198,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
435,1,0,0.025366445827758082,-8.696885237626915,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
436,1,2,0.04840885482930393,0.947988690302366,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
437,1,0,0.0,-7.616371597590731,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
438,1,0,0.008844565024679639,-9.864237569377984,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
439,1,0,0.0058332849080856035,-9.163826170327345,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
440,1,0,0.028376164279144588,-8.902993238310428,4,其他,113.0,12769.0,0,0,0,0,0,1,0,1
441,0,0,0.0,-10.097708035728198,2,其他,0.0,0.0,0,0,0,1,0,0,0,1
442,1,6,0.0515224941265796,3.516480677026973,5,一线城市,69.0,4761.0,1,0,0,0,0,0,1,1
443,1,0,0.01805308540093131,-8.930355703977131,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
444,1,34,0.06481678896937797,-7.213975042525538,5,其他,118.0,13924.0,0,0,0,0,0,0,1,1
445,1,0,0.040747365371492296,-7.561646666257333,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
446,1,0,0.024715278960251878,-7.763003372226067,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
447,1,0,0.0,-8.550253462991586,5,其他,0.0,0.0,0,0,0,0,0,0,1,1
448,1,7,0.01878466562961377,-9.864237569377984,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
449,1,0,0.04624407423027988,2.3984682681499954,3,一线城市,0.0,0.0,1,0,0,0,1,0,0,1
450,1,0,0.36297000359938353,-9.71760579474265,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
451,1,48,0.06861557166546245,-3.3537932634941785,5,一线城市,255.0,65025.0,1,0,0,0,0,0,1,1
452,1,0,0.04538970752844439,-8.436052305610003,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
453,1,1,0.062158844691125426,-1.8931773824724576,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
